Gecko sp.,length_cm,svl_cm,width_cm,len_vol_cm3,svl_vol_cm3,disp_light_cm,dist_light_cm,tail_present,zone,quadrat,time,date,gecko_present,scale_ref,bad_img_qua,photo_id_A,photo_id_B,photo_id_C,,
f,14.5,6.9,1.5,68.3,32.5,247.9,332.6,1,1,e11,a,11/09/2024,1,tape,0,zone1_11092024_a_1,zone1_11092024_a_2,,,
f,4.4,3.1,0.9,12.4,8.8,138.1,146.0,0,1,e3,a,11/09/2024,1,object,0,zone1_11092024_a_3,zone1_11092024_a_4,,,
f,14.6,6.9,1.6,73.4,34.7,252.9,321.8,1,1,e11,m,11/09/2024,1,tape,0,zone1_11092024_m_1,zone1_11092024_m_2,,,
h,8.8,4.7,1.4,38.7,20.7,na,na,1,1,c3,n,11/09/2024,1,object,0,zone1_11092024_n_2,,,,
h,5.5,3.8,0.9,15.6,10.7,na,na,0,1,c3,n,11/09/2024,1,object,0,zone1_11092024_n_2,,,,
f,9.2,6.0,1.7,49.1,32.0,na,na,1,1,c2,n,11/09/2024,1,object,0,zone1_11092024_n_3,,,,
h,4.1,2.3,0.5,6.4,3.6,na,na,1,1,c2,n,11/09/2024,1,object,0,zone1_11092024_n_4,,,,
f,10.7,5.1,1.5,50.4,24.0,0.0,0.0,1,1,e2,n,11/09/2024,1,tape,0,zone1_11092024_n_5,,,,
f,11.5,5.8,1.8,65.0,32.8,0.0,0.0,1,1,e2,n,11/09/2024,1,tape,0,zone1_11092024_n_5,,,,
f,16.3,8.5,2.1,107.5,56.1,110.7,110.7,1,1,e2,n,11/09/2024,1,both,0,zone1_11092024_n_6,zone1_11092024_n_6a,zone1_11092024_n_6b,,
h,9.4,4.9,1.1,32.5,16.9,116.1,116.1,1,1,e2,n,11/09/2024,1,both,0,zone1_11092024_n_6,zone1_11092024_n_6b,,,
h,10.6,5.7,1.9,63.3,34.0,129.3,142.0,1,1,e2,n,11/09/2024,1,both,0,zone1_11092024_n_6,,,,
f,7.8,4.7,1.0,24.5,14.8,167.8,189.7,1,1,e12,n,11/09/2024,1,both,0,zone1_11092024_n_7,,,,
f,8.1,4.9,1.4,35.6,21.6,62.0,85.2,1,1,e12,n,11/09/2024,1,both,0,zone1_11092024_n_7,zone1_11092024_n_8,,,
h,8.1,4.7,1.1,28.0,16.2,173.8,189.9,1,1,e11,n,11/09/2024,1,both,0,zone1_11092024_n_9,zone1_11092024_n_9a,,,
h,9.9,5.4,1.0,31.1,17.0,152.8,168.9,1,1,e11,n,11/09/2024,1,both,0,zone1_11092024_n_9,zone1_11092024_n_9a,,,
h,15.1,7.5,1.6,75.9,37.7,156.1,188.5,1,1,e11,n,11/09/2024,1,both,0,zone1_11092024_n_9a,,,,
h,4.8,3.2,0.9,13.6,9.0,210.2,241.1,1,1,e11,n,11/09/2024,1,both,0,zone1_11092024_n_9a,,,,
h,7.3,4.2,1.0,22.9,13.2,16.5,19.8,1,1,e3,n,11/09/2024,1,tape,0,zone1_11092024_n_10,,,,
f,3.3,2.6,1.0,10.4,8.2,114.0,129.0,0,1,e3,n,11/09/2024,1,object,0,zone1_11092024_n_10,zone1_11092024_n_11,,,
h,10.2,5.0,1.2,38.5,18.8,66.1,92.4,1,1,e12,a,12/09/2024,1,tape,0,zone1_12092024_a_5,zone1_12092024_a_6,,,
f,4.2,3.4,0.8,10.6,8.5,16.5,19.9,0,1,e3,a,12/09/2024,1,tape,0,zone1_12092024_a_7,,,,
h,7.8,4.2,0.9,22.1,11.9,148.4,163.6,1,1,e11,m,12/09/2024,1,both,0,zone1_12092024_m_4,,,,
f,14.4,6.8,1.7,76.9,36.3,218.6,287.2,1,1,e11,m,12/09/2024,1,tape,0,zone1_12092024_m_5,zone1_12092024_m_6,,,
h,7.6,na,na,na,na,82.6,82.6,na,1,e2,n,12/09/2024,0,tape,0,zone1_12092024_n_14,,,,
h,8.2,na,na,na,na,68.0,68.0,na,1,e2,n,12/09/2024,0,tape,0,zone1_12092024_n_14,,,,
h,10.2,5.3,1.4,44.9,23.3,0.0,0.0,1,1,e2,n,12/09/2024,1,tape,0,zone1_12092024_n_15,,,,
h,8.1,na,na,na,na,0.0,0.0,1,1,e2,n,12/09/2024,1,tape,0,zone1_12092024_n_15,,,,
h,8.5,5.5,1.2,32.0,20.7,41.4,41.4,1,1,e2,n,12/09/2024,1,tape,0,zone1_12092024_n_14,,,,
h,8.1,5.4,1.2,30.5,20.4,na,na,1,1,c3,n,12/09/2024,1,tape,0,zone1_12092024_n_16,,,,
h,7.5,na,na,na,na,na,na,na,1,c3,n,12/09/2024,0,tape,0,zone1_12092024_n_16,,,,
h,7.0,4.3,1.1,24.2,14.9,149.9,165.1,1,1,e12,n,12/09/2024,1,both,0,zone1_12092024_n_18,zone1_12092024_n_19,,,
h,11.0,6.1,1.5,51.8,28.7,5.3,11.8,1,1,e12,n,12/09/2024,1,both,0,zone1_12092024_n_22,,,,
f,9.8,4.7,1.5,46.2,22.1,62.3,97.5,1,1,e12,n,12/09/2024,1,both,0,zone1_12092024_n_20,zone1_12092024_n_19,zone1_12092024_n_21,,
h,10.2,6.1,1.6,51.3,30.7,87.1,123.0,1,1,e11,n,12/09/2024,1,both,0,zone1_12092024_n_23,,,,
h,14.4,6.8,1.4,63.3,29.9,89.3,121.0,1,1,e11,n,12/09/2024,1,both,0,zone1_12092024_n_23,,,,
h,13.4,6.0,1.7,71.6,32.0,56.4,70.1,1,1,e11,n,12/09/2024,1,both,0,zone1_12092024_n_23,zone1_12092024_n_24,,,
h,10.8,5.5,1.3,44.1,22.5,101.7,121.8,1,1,e3,n,12/09/2024,1,both,0,zone1_12092024_n_25,,,,
f,13.8,6.0,1.4,60.7,26.4,240.4,318.2,1,1,e11,m,13/09/2024,1,tape,0,zone1_13092024_m_7,zone1_13092024_m_8,,,
f,9.2,5.5,1.6,46.2,27.6,275.3,411.2,1,1,e11,m,13/09/2024,1,tape,0,zone1_13092024_m_7,zone1_13092024_m_8,,,
h,3.5,3.1,0.5,5.6,5.1,116.4,116.4,0,1,e2,m,13/09/2024,1,tape,0,zone1_13092024_m_9,zone1_13092024_m_10,,,
